hospital,population
Barnet Hospital,293502
Chelsea & Westminster,241665
Croydon University,430369
Epsom Hospital,102606
Evelina (St Thomas'),212665
Hillingdon Hospital,347324
Homerton University,245600
Kings College Hospital,394514
Kingston Hospital,324750
Newham General,402775
North Middlesex,540163
Northwick Park,663093
Princess Royal (PRUH),387921
Queen Charlottes',293535
Queen Elizabeth Woolwich,735803
Queens Hospital,557313
Royal Free Hospital,271923
St Heliers Hospital,371285
St Marys Hospital,228753
St. Georges Hospital,476482
The Royal London,323155
UCH (University College),201078
University Lewisham,64474
West Middlesex,574367
Whipps Cross,460041
Whittington Hospital,270342
